Date,K,Bisection,Secant,Newton,MP,BSM
0.07,850,0.18971726684570311,0.18971203735867012,0.18971209210607354,0.45,0.45007277003225
0.07,875,0.24769486694335935,0.24775234484467068,0.247752408932688,0.6,0.599175694593626
0.07,900,0.24134784545898436,,0.24136230871641792,0.15,0.14992660831606308
0.07,200,0.9999389709472657,,,569.8,570.7487794737942
0.07,300,0.9999389709472657,,,469.95,471.1035851839849
0.07,325,0.9999389709472657,,,444.95,446.2039331604767
0.07,350,0.9999389709472657,,,420.05,421.32601989857733
0.07,375,0.9999389709472657,,,395.15,396.49421716783087
0.07,400,0.9999389709472657,,,370.25,371.7492581101111
0.07,425,0.9999389709472657,,,345.35,347.15229584771413
0.07,440,0.9999389709472657,,,0.0,332.49903659706575
0.07,450,0.9999389709472657,,,320.55,322.78703507248696
0.07,475,0.9999389709472657,,,295.75,298.75915091547216
0.07,490,0.9999389709472657,,,280.95,284.5554047458163
0.07,500,0.9999389709472657,,,271.1,275.1927927303619
0.07,525,0.9999389709472657,,,246.55,252.22457330932116
0.07,530,0.9999389709472657,,,241.65,247.71515852610105
0.07,540,0.9999389709472657,,,231.85,238.78962073044318
0.07,550,0.5146359436035157,0.5146232276561399,0.5146234159375424,222.15,222.15003790438982
0.07,560,0.5491783874511719,0.549173567041394,0.5491736790137933,212.45,212.45002787397482
0.07,575,0.5646797668457031,0.564731400166661,0.5647314689904099,197.95,197.94948929604425
0.07,580,0.5674871032714841,0.5674832539774982,0.5674833139400598,193.15,193.1500428527513
0.07,590,0.5737120666503905,0.5737119141987783,0.5737119575719363,183.65,183.65000159096599
0.07,600,0.5718811950683593,0.5718716001846028,0.571871636480686,174.15,174.15016862251775
0.07,605,0.571515020751953,0.5714549578898668,0.5714549818351655,169.45,169.45116188062332
0.07,610,0.569562091064453,0.5695409716925138,0.5695409909907688,164.75,164.75044342006572
0.07,615,0.5663885803222655,0.5663692473819053,0.5663692657696311,160.05,160.05043740935673
0.07,620,0.5641915344238281,0.5641714989763428,0.564171515641211,155.4,155.40048940926113
0.07,625,0.560773907470703,0.5607661699185454,0.5607661876448974,150.75,150.7502023467905
0.07,630,0.5527180725097656,0.5527114631085183,0.5527114925752395,146.0,146.0001816048101
0.07,635,0.5493004455566406,0.5492416243760884,0.5492416361584938,141.4,141.40173506008057
0.07,640,0.5478357482910157,0.5478948116997225,0.5478948231839277,136.9,136.89812873139158
0.07,645,0.5452725280761718,0.5452401836872688,0.5452401970492763,132.4,132.4010927217156
0.07,650,0.5414887268066406,0.5414405871750503,0.5414406053284924,127.9,127.90172596112802
0.07,655,0.5366064025878905,0.5366218396584278,0.5366218474019031,123.4,123.3994147568875
0.07,660,0.5334328918457032,0.5333822862455417,0.5333822970880516,119.0,119.0020302818034
0.07,665,0.5290388000488281,0.5290546398012713,0.5290546440450752,114.6,114.5993297505521
0.07,670,0.5259873474121095,0.5259870738198182,0.5259870802374523,110.3,110.30001192575548
0.07,675,0.5218373718261718,0.5218060124468671,0.5218060238734609,106.0,106.00147032223106
0.07,680,0.5186638610839844,0.5186425904224831,0.5186425944027352,101.8,101.80104798861021
0.07,685,0.5143918273925782,0.5143653105550968,0.5143653185363304,97.6,97.60136723989228
0.07,690,0.5090212707519532,0.5090631203151998,0.5090631233038698,93.4,93.39774813939289
0.07,695,0.5063359924316406,0.5063706909342827,0.5063706971406841,89.4,89.39804876769006
0.07,700,0.5008433776855468,0.500796617004225,0.5007966191983818,85.3,85.30273214380475
0.07,705,0.4975478088378907,0.4975537085425541,0.4975537140096079,81.4,81.39964120895252
0.07,710,0.4931537170410157,0.49316540232092915,0.4931654039895273,77.5,77.49926399714076
0.07,715,0.4876611022949219,0.4876991627656659,0.48769916324113,73.6,73.59752259892218
0.07,720,0.4804596740722656,0.48046022533308264,0.4804602270431594,69.65,69.64996290879361
0.07,725,0.47301412963867184,0.472995941651748,0.4729959421117181,65.75,65.75125499607282
0.07,730,0.4709391418457031,0.47090534696673053,0.4709053485266913,62.3,62.302400505912146
0.07,735,0.46483623657226564,0.4647975863948142,0.46479758671048643,58.65,58.65281457078788
0.07,740,0.46032008666992186,0.46028067855955557,0.46028068001115785,55.2,55.202936849843525
0.07,745,0.45592599487304686,0.455889382376517,0.4558893825652243,51.85,51.85278556280815
0.07,750,0.4509216125488281,0.4509281652168344,0.45092816523127677,48.55,48.549492410581934
0.07,755,0.4472598693847656,0.4472890922169708,0.44728909226853103,45.45,45.447701091937915
0.07,760,0.44176725463867184,0.44174099358010216,0.44174099358045077,42.3,42.30209187653577
0.07,765,0.43798345336914063,0.43803805540051,0.43803805539859947,39.4,39.39560836521531
0.07,770,0.43419965209960937,0.4342464852821397,0.434246485292178,36.6,36.59620831660504
0.07,775,0.4302937927246094,0.43034157292020264,0.4303415729343682,33.9,33.896118387855495
0.07,780,0.42626587524414067,0.426300156058906,0.42630015605619576,31.3,31.297214663436762
0.07,785,0.4221158996582031,0.4221000167168899,0.42210001671722297,28.8,28.801286293993712
0.07,790,0.42077326049804686,0.42082698586288336,0.4208269859301072,26.65,26.645677448664742
0.07,795,0.41308359985351556,0.41313591988821247,0.41313591991865395,24.1,24.095835962149522
0.07,800,0.4140600646972656,0.41406003660516133,0.41406003703187877,22.35,22.35000217298665
0.07,805,0.4084453918457031,0.40845967172007897,0.4084596718874777,20.2,20.198898796071774
0.07,810,0.4012439636230468,0.40125410196018896,0.40125410371682535,18.05,18.049236294061785
0.07,815,0.40051161499023435,0.4004769060256205,0.4004769067537872,16.5,16.502550089238326
